,Day 1,Day 5,Day 10,Day 15,Day 20,Day 25,Split (1/10/20),S&P 500
2020-12-24,99753.52734724521,99753.52734724521,99753.52734724521,99753.52734724521,99753.52734724521,100000.0,99753.52734724521,100000.0
2020-12-28,99320.9017426157,99320.9017426157,99320.9017426157,99320.9017426157,99320.9017426157,99753.73640746117,99320.9017426157,100859.101262086
2020-12-29,98631.042735734,98631.042735734,98631.042735734,98631.042735734,98631.042735734,99059.54710883142,98631.04273573398,100666.68568554982
2020-12-30,99975.64109388828,99975.64109388828,99975.64109388828,99975.64109388828,99975.64109388828,100411.6419879818,99975.64109388828,100810.29301956193
2020-12-31,100911.9475628519,100911.9475628519,100911.9475628519,100911.9475628519,100911.9475628519,101348.14539069177,100911.9475628519,101322.50048462712
2021-01-04,100783.62026632785,100789.61803976535,100789.61803976535,100789.61803976535,100789.61803976535,101240.49109572411,100787.61878195284,99943.111685379
2021-01-05,100918.02680624484,100968.78873333932,100979.47690931798,100979.47690931798,100979.47690931798,101423.76174658777,100958.99354162691,100631.43282713571
2021-01-06,104525.23955191135,104594.58567318917,104630.01730886936,104630.01730886936,104630.01730886936,105085.61001128198,104595.09138988335,101233.07038841402
2021-01-07,106293.1229118204,106412.5757912159,106390.72196547031,106390.72196547031,106390.72196547031,106872.45837134363,106358.188947587,102737.14214228935
2021-01-08,106491.21403540134,106601.31988034249,106568.93561712741,106568.93561712741,106568.93561712741,107048.90489882471,106543.02842321871,103322.46894399481
2021-01-11,105715.73129499913,105825.23629078866,105782.65446501254,105796.14031569005,105796.14031569005,106275.35469168665,105764.8420252339,102626.03229122849
2021-01-12,107601.61103094577,107666.99339947701,107585.77084570409,107747.22031942844,107747.22031942844,108233.37387389185,107644.86739869276,102647.70318634808
2021-01-13,107124.40194357395,107193.90546689033,107138.25821905612,107262.03657690524,107262.03657690524,107738.75636595728,107174.89891317843,102924.12670545337
2021-01-14,107604.1131538248,107673.40985569955,107577.44719343662,107775.84061781406,107775.84061781406,108264.24381369592,107652.46698835849,102563.69524377897
2021-01-15,106160.29586828708,106136.8377026081,106109.2275641489,106320.42748173236,106343.46090475559,106814.82579344751,106204.32811239718,101815.74813139474
2021-01-19,106682.67018354892,106699.58672795296,106608.79963713168,106844.30762585162,106853.15882460118,107337.03370779993,106714.87621509393,102615.17026448414
2021-01-20,107458.72861135959,107501.84241375924,107406.9104788828,107686.8857336855,107585.07743103504,108104.52582472803,107483.57217375915,104035.21635633401
2021-01-21,106439.30933416843,106552.31143078805,106397.64066534518,106748.16797169208,106627.99821884632,107076.8884536648,106488.31607278665,104130.06860619111
2021-01-22,106577.08054769992,106691.50369534492,106526.68271093845,106898.86316593646,106766.90293533802,107203.24768370629,106623.55539799214,103761.52163350707
2021-01-25,106826.96311415195,106925.72472081185,106770.76591520786,107141.39113720416,107020.71124298572,107437.94558558465,106872.81342411519,104170.73475852101
2021-01-26,105221.13767088413,105353.18259892464,105235.20871382236,105666.62386425494,105536.2921908617,105928.481367445,105330.8795251894,104008.14988675495
2021-01-27,101781.18281019687,101915.1787498951,101819.85948210239,102235.30519207477,102138.71538956165,102522.5684112072,101913.25256062031,101466.1255380956
2021-01-28,104726.07487715244,104853.29463276864,104711.56438093662,105127.06768902301,105012.56950027942,105454.453317976,104816.7362527895,102338.75560510703
2021-01-29,101592.46998442172,101691.6848839283,101610.16842108249,102030.4466105318,101933.84203751087,102348.01534686089,101712.1601476717,100289.98776294345
2021-02-01,103320.70199352741,103399.39096913338,103302.49846296787,103676.9266558504,103592.70042450429,104035.80832896233,103405.30029366653,101959.35546540684
2021-02-02,104366.27124554157,104450.83983311654,104349.80738859653,104688.0273829317,104604.61684067249,105073.98438105584,104440.23182493687,103401.0724523763
2021-02-03,104273.96091610432,104363.60399327279,104251.36568098544,104596.20090206622,104514.90963013172,104987.75422511101,104346.74540907383,103482.39589730794
2021-02-04,104830.5245681429,104912.952465868,104806.9133074808,105133.22754009723,105062.95383865833,105559.20469889641,104900.13057142735,104658.54253218826
2021-02-05,105197.40228420735,105279.22479417801,105204.07408934116,105519.95798595904,105445.12468750477,105955.64171061516,105282.20035368443,105070.44901456789
2021-02-08,106621.93092686177,106720.39026620865,106638.29373770236,106938.15331943988,106833.68443329334,107339.10005984308,106697.96969928582,105829.28473288096
2021-02-09,105771.19800907612,105874.28602579117,105783.31010275363,106118.90827854633,106026.17111237049,106530.7615664959,105860.22640806675,105758.81445496547
2021-02-10,105248.07386547566,105314.36857011795,105247.38952586651,105566.30609234332,105496.09657318592,106043.24277720453,105330.51998817602,105712.73500871974
2021-02-11,104485.77256351948,104555.6577718544,104492.20373675824,104809.1404562807,104740.69421799183,105271.95404467583,104572.89017275651,105883.46197067997
2021-02-12,105384.66328770161,105463.3328512001,105386.74818942547,105680.10244282245,105636.68271286487,106161.59491763116,105469.36472999731,106406.52260276134
2021-02-16,105607.96542316914,105649.99762704849,105554.99985644818,105872.09709302425,105861.11188156604,106412.38040194512,105674.69238706112,106314.36371026987
2021-02-17,105024.45239025593,105064.31750658035,104996.87386653424,105318.99095288753,105281.02867157459,105815.731077528,105100.78497612158,106338.78112112418
2021-02-18,102554.34904247761,102592.15158632278,102545.39186809064,102940.83924619199,102846.45278580188,103383.59716258051,102648.73123212338,105886.19076695832
2021-02-19,103814.6824813509,103817.33245637894,103746.57667491437,104060.4158071661,104085.14000351429,104672.04915080071,103882.13305325985,105699.18848433795
2021-02-22,103876.06241184712,103854.60417535782,103791.85778567792,104069.40796414852,104073.09188563823,104728.7130130291,103913.67069438775,104886.1932476822
2021-02-23,103676.3522029543,103657.84204080582,103595.8128943205,103883.97319928645,103892.63511760235,104524.07596240044,103721.60007162571,105013.5518402187
2021-02-24,106484.91542393208,106439.91552331924,106361.60560748578,106570.04626218318,106559.39113719463,107328.96313509942,106468.63738953749,106170.73865680142
2021-02-25,103081.85660702229,103027.07569673538,102982.34440181256,103213.33471814633,103154.75143916608,103872.8945662737,103072.98414933363,103612.4832861228
2021-02-26,100775.75442081928,100723.69344690323,100685.22166583539,100929.04296247005,100898.56492717266,101657.74618217946,100786.51367127577,103078.59606620982
2021-03-01,103285.0397988367,103242.77596261978,103180.77663943768,103404.06751004695,103406.57537944317,104193.9132468462,103290.79727257253,105577.24318571726
2021-03-02,103194.83729944706,103160.86414506912,103103.82818171979,103322.93872586728,103298.60218532085,104045.94624779226,103199.08922216257,104753.3859223172
2021-03-03,102202.28815470218,102299.24284723282,102243.82904574872,102411.73093549251,102326.79166514873,103012.01196739674,102257.63628853322,103365.84617314673
2021-03-04,100538.10284052373,100489.42694833755,100477.72008273602,100733.33254758359,100625.90478236676,101287.4778525591,100547.24256854218,102086.74063712786
2021-03-05,102403.8133812952,102374.78077638149,102399.87427470685,102658.72329465389,102498.98071391582,103136.90297005177,102434.22278997263,103964.78151733121
2021-03-08,102566.181541543,102430.31198441982,102693.87680575847,102900.1035665655,102671.4038668394,103239.9463088274,102643.82073804695,103447.15189862203
2021-03-09,103637.90900812625,103663.75866639614,103638.84697673321,103874.01466504573,103741.31353480816,104395.8010909319,103672.68983988922,104924.10402454923
2021-03-10,105777.06390772344,105786.47122895718,105901.15545716285,106084.71514646054,105924.59988505841,106547.30328438284,105867.60641664824,105577.24318571726
2021-03-11,107424.6431733179,107556.06888139248,107669.89550461769,107697.58197919368,107577.04111583233,108263.10334084035,107557.19326458931,106647.69326345251
2021-03-12,107649.78388987065,107752.0797380209,107876.59641327857,107900.00452558041,107791.85832316877,108459.89094231131,107772.74620877266,106791.32717664917
2021-03-15,110156.24046717166,110249.07224595547,110367.53382172584,110392.6121651411,110295.66872127056,110980.29850456715,110273.14767005603,107428.18215742886
2021-03-16,108734.09514246463,108829.43669450283,108973.2372900486,108993.96715705394,108852.71407420635,109553.61702034474,108853.3488355732,107292.67261497004
2021-03-17,109324.0134354639,109330.54738938808,109455.62685074806,109495.94752280711,109448.95259196758,110108.10021278859,109409.53095939319,107658.5439497448
2021-03-18,107179.46188364505,107136.00433290005,107254.2277914524,107297.70145575999,107291.7778940916,107907.3471266985,107241.82252306303,106092.1440081481
2021-03-19,107666.78916178226,107680.30174577236,107813.23677887916,107846.11837165356,107777.17628200054,108426.94783470633,107752.40074088733,105895.83901094248
2021-03-22,107074.02318583011,107142.50608766079,107315.14095749856,107335.95799033642,107161.59178806782,107858.02464363577,107183.5853104655,106741.41146810303
2021-03-23,104913.65106211187,104986.83007371426,105176.76483979225,105195.84373633862,104983.97732426166,105687.57114861014,105024.79774205526,105901.27888404281
2021-03-24,105007.65370188236,105045.52358567715,105233.72376694679,105256.88737266064,105040.46843220234,105765.3055732012,105093.94863367717,105362.92636112889
2021-03-25,106088.54714975833,106124.63520753384,106309.32073273658,106341.05805747508,106135.31984211445,106851.42651392461,106177.72924153646,105955.65103586171
2021-03-26,108299.99330530645,108449.2316583395,108645.79138627052,108647.76317374705,108441.59141804218,109196.09686876775,108462.45870320639,107663.1332889402
2021-03-29,107444.97288904666,107493.77723252773,107677.40723099708,107701.38933341502,107491.94381596088,108229.66734720708,107538.10797866822,107608.75227739313
2021-03-30,107435.2070656824,107601.8533204794,107783.88663544654,107778.59935920237,107572.12584187031,108317.7356054926,107597.07318099977,107323.26525636333
2021-03-31,107740.40761576175,107975.08065354824,108155.47812714576,108139.69007270335,107937.28059269428,108701.49854303838,107944.38877853395,107758.28676955528
