,SB1: Wide Buffer (No Swap),Swap10: Force Swap (Cap 10),Swap15: Force Swap (Cap 15),Swap20: Force Swap (Cap 20),Swap25: Force Swap (Cap 25),Swap30: Force Swap (Cap 30),S&P 500
2020-12-24,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-12-28,99562.97978019714,99562.97978019714,99708.22344398499,99782.83173370361,99826.09560775757,99855.59439086914,100859.0746067898
2020-12-29,98866.1483001709,98866.1483001709,99242.82944107056,99437.23118019104,99547.24823760986,99625.91738510132,100666.66790702849
2020-12-30,100225.45515823364,100225.45515823364,100149.41681289673,100113.61930274963,100090.66226196289,100075.68553543091,100810.29294777218
2020-12-31,101171.55316543579,101171.55316543579,100778.77494430542,100586.21812438965,100467.76637649536,100389.38608551025,101322.4826480024
2021-01-04,101049.18300056458,101049.18300056458,100700.84279823303,100524.6531009674,100421.26134872437,100350.36856460571,99943.08511123697
2021-01-05,101241.202003479,101241.202003479,100825.63347625732,100624.55512619019,100496.41192626953,100415.40685272217,100631.42391146508
2021-01-06,104927.95055580139,104927.95055580139,103284.28460121155,102461.48381614685,101970.1216468811,101634.64752578735,101233.04369998518
2021-01-07,106706.09836959839,106706.09836959839,104470.55604934692,103345.23684120178,102678.14278793335,102221.13734054565,102737.10646087646
2021-01-08,106886.92133903503,106886.92133903503,104589.04939079285,103435.72478675842,102748.40618896484,102281.25664901733,103322.47750936053
2021-01-11,106110.7493019104,106110.7493019104,104072.61073684692,103047.80715370178,102441.57028198242,102026.17725753784,102626.02319884178
2021-01-12,108080.75719642639,108080.75719642639,105386.11734199524,104031.88306617737,103228.4474143982,102679.28472518921,102647.70295176879
2021-01-13,107592.30000114441,107592.30000114441,105061.73940849304,103789.24412727356,103035.4368057251,102520.35167312622,102924.12644638371
2021-01-14,108114.11687469482,108114.11687469482,105411.93745040894,104049.55185890198,103246.46722793579,102695.2113609314,102563.67729718777
2021-01-15,106667.67199134827,106667.67199134827,104444.26664161682,103331.7765712738,102667.7894897461,102217.41984176636,101815.71253161483
