,SB1: Wide Buffer (No Swap),Swap10: Force Swap (Cap 10),Swap15: Force Swap (Cap 15),Swap20: Force Swap (Cap 20),Swap25: Force Swap (Cap 25),Swap30: Force Swap (Cap 30),S&P 500
2020-12-24,99751.19977957247,99751.19977957247,99834.84482016086,99876.12346336365,99901.30872964859,99917.81806149961,100000.0
2020-12-28,99314.50365835665,99314.50365835665,99544.96266378877,99658.96411201477,99728.58871507643,99773.42136731626,100859.0924784711
2020-12-29,98617.62697798252,98617.62697798252,99084.0214463663,99313.38139793396,99454.13032197952,99543.7622009802,100666.68574461636
2020-12-30,99976.18050199984,99976.18050199984,99985.84255995273,99989.44843360901,99992.51637315749,99993.20926442624,100810.2930913517
2020-12-31,100921.13847357272,100921.13847357272,100614.96705832003,100461.67265769959,100369.23689508438,100306.53521695615,101322.50946152606
2021-01-04,100798.68235594271,100798.68235594271,100533.68666090486,100400.61602088928,100320.48731851576,100268.02608266355,99943.09396088094
2021-01-05,100989.34698873997,100989.34698873997,100665.71092047213,100499.95613548279,100401.98260354996,100332.50246015073,100631.44174280792
2021-01-06,104672.86284452914,104672.86284452914,103110.62302793977,102335.00290748596,101862.57128763199,101549.86121526243,101233.07049766072
2021-01-07,106450.38783461093,106450.38783461093,104290.9975816202,103218.90755531311,102564.09683275223,102136.50265279294,102737.14238479275
2021-01-08,106631.41679960728,106631.41679960728,104412.90612806796,103309.51144477844,102635.61651468277,102196.73790517332,103322.53125645929
2021-01-11,105855.53943068028,105855.53943068028,103898.31745161532,102921.8524634552,102329.46011018753,101941.91716542722,102626.03252388783
2021-01-12,107823.78464704989,107823.78464704989,105208.37628950595,103905.6875693512,103111.6562218666,102594.783826499,102647.71228065637
2021-01-13,107334.89351088046,107334.89351088046,104883.51770033358,103662.29050514221,102918.75519800186,102435.09264913083,102924.144683981
2021-01-14,107854.6521092081,107854.6521092081,105229.96241011142,103921.26037284851,103125.85837602615,102608.61447301389,102563.70433064437
2021-01-15,106408.56622511386,106408.56622511386,104273.17623533723,103203.60995552063,102556.76648569106,102130.94782414915,101815.7217130782
2021-01-19,106924.00835234165,106924.00835234165,104615.79554380891,103459.37528297424,102759.26366853714,102302.39630666257,102615.17049618113
2021-01-20,107685.29541975497,107685.29541975497,105120.12363829135,103836.48830863953,103059.88498163223,102551.79915776731,104035.269872217
2021-01-21,106645.45759397982,106645.45759397982,104425.96945585727,103316.0841834259,102643.47833108902,102206.68096318723,104130.10441101984
2021-01-22,106772.45206266879,106772.45206266879,104511.23229231357,103379.46688148499,102693.48078775406,102249.8347488928,103761.53082649664
2021-01-25,107032.2719517374,107032.2719517374,104685.04126371858,103509.62930366516,102797.54763841629,102337.78785863401,104170.74398776577
2021-01-26,105368.47894484042,105368.47894484042,103577.3955842447,102679.22600624085,102135.47464799881,101785.77799001218,104008.14138213721
2021-01-27,101900.63352781771,101900.63352781771,101273.59373487948,100953.02187797547,100758.79723787308,100640.16445317747,101466.1345277193
