Ticker,PER,Forward_PER,PBR,PSR,EV_EBITDA,ROE,Profit_Margin,Oper_Margin,Rev_Growth,EPS_Growth,Sector
ABT,15.819096,22.17897,4.297171,4.9987135,19.112,0.3062,0.3188,0.19395,0.069,0.0,Healthcare
LW,14.98913,13.647744,3.2747564,0.8905419,7.805,0.23164,0.060599998,0.09474,0.011,,Consumer Defensive
CPB,13.623711,10.084437,1.9903607,0.77571255,8.19,0.14815,0.056900002,0.14232,-0.034,-0.097,Consumer Defensive
DELL,16.12567,10.52525,-30.70774,0.77663124,9.754,,0.05005,0.082729995,0.108,0.39,Technology
UNH,17.924961,19.37517,3.2535353,0.7160379,12.692,0.17476,0.04042,0.03813,0.122,-0.602,Healthcare
HAS,,16.390127,29.944754,2.7932124,14.227,-0.62839,-0.12814,0.24584,0.083,0.031,Consumer Cyclical
PSX,38.318058,12.190165,2.1279845,0.43538463,14.87,0.056199998,0.011410001,0.04395,-0.029,-0.61,Energy
PAYC,19.524223,15.606041,4.95523,4.4180527,15.899,0.28557,0.22645001,0.22826,0.092,0.496,Technology
PCG,13.319327,9.736351,1.1459764,1.4068687,10.034,0.0876,0.10492,0.21312,0.052,0.378,Utilities
NOW,85.42169,34.79857,13.022316,11.811738,57.708,0.16813,0.13665,0.16789,0.218,0.159,Technology
C,17.039326,12.227595,1.1190953,2.962668,,0.06995,0.19488001,0.30606002,0.116,0.232,Financial Services
DOV,26.322033,19.010859,3.6135027,3.494713,16.546,0.15883,0.28370002,0.1869,0.048,-0.126,Industrials
REG,31.981651,28.902956,1.9280441,8.135313,18.243,0.0602,0.26093,0.39363,0.077,0.074,Real Estate
BKNG,35.714073,20.624414,-37.464256,6.835849,18.157,,0.19371,0.44904998,0.127,0.135,Consumer Cyclical
SYF,9.527412,9.288448,1.9751767,3.3517969,,0.21636999,0.37066,0.53381,0.207,0.474,Financial Services
ORLY,32.569443,28.372055,-88.82576,4.5442686,22.58,,0.14225,0.20742,0.078,0.126,Consumer Cyclical
DGX,20.498238,16.807726,2.6678085,1.7978324,11.896,0.14353,0.08931,0.14915,0.132,0.085,Healthcare
COR,42.17211,17.211182,43.17001,0.2026611,14.638,1.23751,0.00484,0.0114400005,0.059,,Healthcare
NEM,16.950233,13.8877735,3.5853152,5.5675964,9.699,0.22875999,0.33423,0.4685,0.2,1.081,Basic Materials
AMT,26.875597,24.273388,19.963274,7.5473247,19.137,0.28839,0.28106,0.45477,0.077,,Real Estate
TECH,134.08162,30.32219,5.2051973,8.413434,32.238,0.038,0.06409,0.16882999,-0.01,0.143,Healthcare
APD,,19.111391,3.9069052,4.8766665,103.23,-0.01923,-0.03277,-0.89169,-0.006,-0.998,Basic Materials
BDX,34.83677,12.767199,2.279063,2.6496618,12.414,0.06544,0.07683,0.17858,0.083,0.252,Healthcare
APTV,67.17424,10.537186,2.0686839,0.95815605,8.098,0.03294,0.01464,0.114350006,0.074,,Consumer Cyclical
BMY,18.80808,9.285394,6.1303773,2.3674307,7.717,0.33777002,0.12572,0.31566,0.028,0.809,Healthcare
ROK,53.45443,30.154634,12.628196,5.5331087,28.415,0.20282,0.104169995,0.19732,0.138,-0.412,Industrials
GOOG,32.460056,29.226599,10.275185,10.307733,26.984,0.3545,0.32233003,0.30512,0.159,0.353,Communication Services
