Date,SB1 (Wide Buffer),Swap30 (Force Swap),Hybrid (Super Rookie),S&P 500
2020-12-24,99751.19977957247,99917.81806149961,99751.19977957247,100000.0
2020-12-28,99314.50365835665,99773.42136731626,99314.50365835665,100859.07468290147
2020-12-29,98617.62697798252,99543.7622009802,98617.62697798252,100666.66796609348
2020-12-30,99976.18050199984,99993.20926442624,99976.18050199984,100810.31073901827
2020-12-31,100921.13847357272,100306.53521695615,100921.13847357272,101322.48276517077
2021-01-04,100798.68235594271,100268.02608266355,100798.68235594271,99943.111685379
2021-01-05,100989.34698873997,100332.50246015073,100989.34698873997,100631.44168686388
2021-01-06,104672.86284452914,101549.86121526243,104672.86284452914,101233.06152868585
2021-01-07,106450.38783461093,102136.50265279294,106450.38783461093,102737.14214228935
2021-01-08,106631.41679960728,102196.73790517332,106631.41679960728,103322.49552317936
2021-01-11,105855.53943068028,101941.91716542722,105855.53943068028,102626.03229122849
2021-01-12,107823.78464704989,102594.783826499,107823.78464704989,102647.70318634808
2021-01-13,107334.89351088046,102435.09264913083,107334.89351088046,102924.1178457252
2021-01-14,107854.6521092081,102608.61447301389,107854.6521092081,102563.6775243226
2021-01-15,106408.56622511386,102130.94782414915,106408.56622511386,101815.73927166656
2021-01-19,106924.00835234165,102302.39630666257,106924.00835234165,102615.17912421231
2021-01-20,107685.29541975497,102551.79915776731,107685.29541975497,104035.21635633401
2021-01-21,106645.45759397982,102206.68096318723,106645.45759397982,104130.0774659193
2021-01-22,106772.45206266879,102249.8347488928,106772.45206266879,103761.53935296342
2021-01-25,107032.2719517374,102337.78785863401,107032.2719517374,104170.73475852101
2021-01-26,105368.47894484042,101785.77799001218,105368.47894484042,104008.1676062113
2021-01-27,101900.63352781771,100640.16445317747,101900.63352781771,101466.13439782377
2021-01-28,104860.3815937662,101610.8366982031,104860.3815937662,102338.76446483521
2021-01-29,101690.74626165866,100564.33422818662,101690.74626165866,100289.99662267162
2021-02-01,103480.07849699497,101154.73993459226,103480.07849699497,101959.37318486319
2021-02-02,104568.58777433871,101515.74818578245,104568.58777433871,103401.08131210448
2021-02-03,104464.82367903233,101480.11103597165,104464.82367903233,103482.40475703614
2021-02-04,105012.42630201815,101659.66673436643,105012.42630201815,104658.54253218826
2021-02-05,105426.88570219516,101796.02592626096,105426.88570219516,105070.46673402423
2021-02-08,106983.0593395853,102312.81715169431,106983.0593395853,105829.28473288096
2021-02-09,106049.44022947787,102001.18893208982,106049.44022947787,105758.8055952373
2021-02-10,105499.34752089024,101817.86701741697,105499.34752089024,105712.73500871974
2021-02-11,104747.83303267002,101569.56347432615,104747.83303267002,105883.47083040814
2021-02-12,105784.81202513218,101914.87139668943,105784.81202513218,106406.50488330498
2021-02-16,106210.34156996249,102055.58562627317,106210.34156996249,106314.34599081353
2021-02-17,105610.9475727701,101858.05270162107,105610.9475727701,106338.76340166783
2021-02-18,102935.33189207554,100970.43824162961,102935.33189207554,105886.17304750196
2021-02-19,104400.29511839389,101453.93174138547,104400.29511839389,105699.18848433795
2021-02-22,104531.34971434115,101499.2207581091,104531.34971434115,104886.16666849768
2021-02-23,104261.60722166537,101409.82429280759,104261.60722166537,105013.56069994687
2021-02-24,107292.53454023837,102413.37712255002,107292.53454023837,106170.72979707325
2021-02-25,103751.57177549838,101244.83615651609,103751.57177549838,103612.45670693826
2021-02-26,101442.52252775668,100482.16467061521,101442.52252775668,103078.58720648164
2021-03-01,104057.15498548983,101345.40328374387,104057.15498548983,105577.23432598909
2021-03-02,103945.29308897496,101311.00781026365,103945.29308897496,104753.3859223172
2021-03-03,103183.53971296786,101062.34457555295,103183.53971296786,103365.84617314673
2021-03-04,101123.0568333292,100381.60844960691,101123.0568333292,102086.73177739969
2021-03-05,103065.65647703646,101024.85675969602,103065.65647703646,103964.79037705938
2021-03-08,103433.90539366244,101148.68795934202,103433.90539366244,103447.15189862203
2021-03-09,104373.58606153964,101457.04095616819,104373.58606153964,104924.1217440056
2021-03-10,106900.93744474888,102293.58895268918,106900.93744474888,105577.23432598909
2021-03-11,108630.22258955477,102864.23359075071,108630.22258955477,106647.69326345251
2021-03-12,108626.73453337193,102862.1137558508,108626.73453337193,106791.32717664917
2021-03-15,111236.4632168436,103724.33692708494,111236.4632168436,107428.15557824435
2021-03-16,109558.395116868,103169.84711995603,109558.395116868,107292.69919415456
