,A: Standard (Top 10),B: Buffer (Top 10/20),C: Hyper Carry (Top 5),D: Momentum Booster,E: Absolute (Score > 85)
2025-01-07,99751.88289828302,99751.88289828302,99751.18162684441,99751.42498697282,100000
2025-01-08,98553.8873805523,98553.8873805523,96725.12073283196,98345.73143686296,100000
2025-01-10,96840.56847758294,96840.56847758294,95871.91445116999,98068.64208711626,100000
2025-01-13,97764.37690730096,97764.37690730096,96438.62893633843,98329.85558046342,100000
2025-01-14,98604.11333270074,98604.11333270074,97566.87642436028,99673.06293405534,100000
2025-01-15,100005.44112582208,100005.44112582208,99300.67264704706,100904.87135042192,100000
2025-01-16,100620.85768504144,100620.85768504144,99778.3990626812,100892.06343568803,100000
2025-01-17,101248.0506114483,101248.0506114483,100662.77090220452,101177.99548257829,100000
2025-01-21,101274.40048403741,101274.40048403741,99183.59811167719,101557.40537370683,100000
2025-01-22,99858.58010287286,99858.58010287286,97168.49669795037,100988.16233934404,100000
2025-01-23,100715.4524058819,100715.4524058819,98448.69455103874,101387.18853868486,100000
2025-01-24,99520.18485064508,99520.18485064508,96249.90296320916,101132.63140310289,100000
2025-01-27,99200.81076045037,99200.81076045037,95295.84794192314,102213.9861918831,100000
2025-01-28,98457.11971087457,98457.11971087457,94836.26614909172,101371.38631738664,100000
2025-01-29,99383.89563746453,99383.89563746453,96363.50195651055,101440.4629737282,100000
2025-01-30,100073.78969950677,100073.78969950677,96685.28965716362,101079.6600238228,100000
2025-01-31,99735.8812427044,99735.8812427044,95946.73098139763,100433.92278398515,100000
2025-02-03,99211.83308596612,99211.83308596612,95123.07676844597,99358.42872632982,100000
2025-02-04,99682.98903079034,99682.98903079034,96233.94996027947,100252.83428777696,100000
2025-02-05,99879.53837771417,99879.53837771417,95559.8712325573,100550.54185022356,100000
2025-02-06,97607.09233660699,97607.09233660699,93431.86867671013,99300.37690748216,100000
2025-02-07,97280.34053034784,97280.34053034784,93473.42044024468,98689.29911054613,100000
2025-02-10,96756.05462069513,96756.05462069513,94915.68333201409,98874.79053224565,100000
2025-02-11,95923.26569933892,95923.26569933892,93634.75917582512,98384.15207685472,100000
2025-02-12,95252.81915278436,95252.81915278436,92991.23585467339,98839.70788492204,100000
2025-02-13,96098.84693522454,96098.84693522454,93648.00859026909,98995.25118268968,100000
2025-02-14,96076.39679522516,96076.39679522516,92988.51978449822,98597.49674428941,100000
2025-02-18,97189.22170062066,97189.22170062066,94774.81477885247,99649.74205316545,100000
2025-02-19,97177.13990969659,97177.13990969659,95115.55960230828,100996.4777518654,100000
2025-02-20,96406.79121966363,96406.79121966363,94290.4316382885,100987.30190862657,100000
2025-02-21,94126.91467852594,94126.91467852594,90841.16895060541,98995.48768915178,100000
